NM_VOTAVEL,VR_RECEITA,DS_CARGO,QT_VOTOS,SG_PARTIDO
DIVINA LUCIA DE ALMEIDA DIAS,102564.3,PREFEITO,1459,PP
MARIA AMELIA DE ARAUJO,102288,PREFEITO,1005,PSD
ITAMAR LEAO DO AMARAL,102194.04,PREFEITO,3299,PSDB
GENILVA KATIA RODRIGUES DE ASSIS,101536.81,PREFEITO,2481,REPUBLICANOS
RUBENS FRANCISCO LOPES,100600,PREFEITO,1452,DEM
CLAYTON PEREIRA DE MELO,100339.51000000001,PREFEITO,2871,DEM
ALEXANDRE CESAR BATISTA FREIRE,100000,PREFEITO,4657,PSD
ENNIO FERREIRA BASTOS,100000,PREFEITO,85,PSB
KEDMA KAREN DA SILVA,99433.28,PREFEITO,1033,PT
ADALBERTO DOS SANTOS AMORIM,98498.62999999999,PREFEITO,1408,PSDB
TARCIO DUTRA,98358.32,PREFEITO,2807,PP
JOSÉ ANTÔNIO PRADO NUNES CARVALHO,97900,PREFEITO,2678,DC
WILMAR FERREIRA DA SILVA,97878.42,PREFEITO,1325,MDB
ÀLVARO MACHADO DE FREITAS,97455.6,PREFEITO,4029,MDB
RICARDO ARANTES COSTA VALADÃO,97390.9,PREFEITO,1651,MDB
MARCONNI PIMENTA DA SILVA,97244,PREFEITO,2462,DEM
FAUSTO CAIADO BARBOSA,96650.48,PREFEITO,1827,PDT
JONES RODRIGUES DE FARIA,96438.66,PREFEITO,1401,PSC
CHARLEY RODRIGUES TOLENTINO,96395,PREFEITO,1747,REPUBLICANOS
OSÓRIO FERNANDO DE SOUSA,96391.81,PREFEITO,6466,PSC
FRANCISCO ANTONIO CASTILHO,96012,PREFEITO,1634,MDB
ALAIR RABELO NETO,96000,PREFEITO,4722,DEM
AMARILDO MARTINS MARIANO,96000,PREFEITO,2370,DEM
HELIO GONTIJO DE OLIVEIRA,95988.8,PREFEITO,1479,MDB
NATALIA CAMARDELLI CAJAZEIRA PRATES,95691.6,PREFEITO,2123,REPUBLICANOS
EDSON GUIMARAES DE FARIA,95644.11,PREFEITO,4529,MDB
LUIZ ANTONIO RODRIGUES,94980,PREFEITO,1916,PSB
MURILO BORGES GUIMARÂES,94835,PREFEITO,151,PP
RIVADAVIA JAIME JUNIOR,94464.87,PREFEITO,1303,PSDB
MARCIO DE OLIVEIRA PASSOS,94300,PREFEITO,1961,PODE
MATEUS FELIX LOPES,93964.27,PREFEITO,1351,CIDADANIA
NEILTON FERREIRA DE OZEDA,92956.20999999999,PREFEITO,2615,PSDB
MARCIO POLO DE CASTRO,92740,PREFEITO,3086,PP
MORETSON DA SILVA BORGES,92568,PREFEITO,2667,DEM
RODRIGO RODRIGUES ALMEIDA,92307.5,PREFEITO,2130,MDB
ALESSANDRA SOUZA CARVALHO ROSA,92023,PREFEITO,1904,PSDB
MARCOS ANTÔNIO ALVES,91950,PREFEITO,2804,PL
DIVINO MARQUES DE SOUSA,91637.01000000001,PREFEITO,5881,DEM
LUIZ MARTINS DE OLIVEIRA,91514,PREFEITO,1449,MDB
WEBER SIVIRINO DA COSTA,91046,PREFEITO,5702,PSD
GRACIELE MARTA DO NASCIMENTO,90933.5,PREFEITO,3239,DEM
JACIRA MARTINS FERNANDES PAIVA,89976.8,PREFEITO,1448,PP
FRANC HELVIS VAZ,89839.44,PREFEITO,1992,PP
ELIAS MORAES DE SOUZA,89762.65,PREFEITO,2954,PSL
SEBASTIAO JOSE CARDOSO,89582.59,PREFEITO,545,PT
GERALDO DOS REIS OLIVEIRA,89271,PREFEITO,2937,PODE
LUIZ JUVENCIO DE OLIVEIRA,88100,PREFEITO,2821,DEM
ROBERTO CIRINO DOS SANTOS,87981.36,PREFEITO,1693,PTC
HEMANUELLE DI LARA SIQUEIRA JACOB,87809.44,PREFEITO,4639,PSOL
OSWALDO BATISTA POFAHL,87500,PREFEITO,1006,PDT
ADNA FERREIRA DE ALMEIDA MARTINS,87246.33,PREFEITO,1289,PP
MARCO ROGERIO CANDIDO LEITE,87122.27,PREFEITO,2552,SOLIDARIEDADE
JADIR LOPES DE OLIVEIRA,87000,PREFEITO,5357,DEM
MARCO ANTONIO GOMES DE CARVALHO,86864.7,PREFEITO,1661,PT
GABRIEL GOMES ALVES DE CASTRO,86809.67,PREFEITO,1192,PSDB
CLAUDIO MESQUITA,86500,PREFEITO,2573,PSL
HALISON MACEDO DOS SANTOS,86452.31000000001,PREFEITO,1945,DEM
ANTONIO LOPES JUNIOR,86170.8,PREFEITO,3178,PSB
ROSENILDA MARIA DE SOUZA BEZERRA,85751.83,PREFEITO,1174,PSD
ULISSES ALVES DE BRITO,85625.3,PREFEITO,1355,PDT
WILSON TAVARES DE SOUSA JUNIOR,85379.42,PREFEITO,1341,DEM
JANÉZIO PEREIRA DA SILVA,85200,PREFEITO,2027,MDB
JOSE RAIMUNDO LOPES DE SOUZA,84792,PREFEITO,466,PROS
AMILCAR MACHADO PEREIRA JUNIOR,84500,PREFEITO,2237,MDB
WENNER PATRICK DE SOUSA,84000,PREFEITO,7189,AVANTE
FERNANDO GUEDES PEREIRA,83890,PREFEITO,1574,PP
KARLA CRISTINA MOREIRA ALVES,83655.9,PREFEITO,3282,MDB
ABNER DE CASTRO CURADO,83396.4,PREFEITO,2563,MDB
FLAVIO ZEFERINO DA SILVA,83078.6,PREFEITO,1160,PSL
ALTRAN LOPES AVELAR NERY,82896.39,PREFEITO,2078,DEM
JOSÉ UILTON NASCIMENTO DE OLIVEIRA,82882.59,PREFEITO,392,PT
AVAILTON CANDIDO VIEIRA,82810,PREFEITO,697,DEM
PAULO ROBERTO VIEIRA,82333,PREFEITO,2798,PDT
HÉLIO ANTÔNIO DA SILVA,82301.23,PREFEITO,874,PTB
PAULO JOSE MARTINS,82090,PREFEITO,5315,REPUBLICANOS
WASHINGTON FERREIRA DA COSTA,81740.7,PREFEITO,765,PP
ELIEUDES DIAS DE MORAES,81735,PREFEITO,2181,DEM
DANILO MAX DE SOUZA COSTA,81625,PREFEITO,1068,MDB
SOLANGE MARIA GOUVEIA CASTRO,81507.23999999999,PREFEITO,1566,PSC
FABRICIO ALVES DE SOUZA SANTOS,81474.13,PREFEITO,3646,PRTB
WENDEL ANTONIO FERREIRA,81136.34,PREFEITO,919,DEM
JORGE JOSE DE SOUZA,80916.3,PREFEITO,1444,PP
PAULO MARIA RODRIGUES,80715,PREFEITO,822,PODE
SAULO GOMES DA SILVA,80400,PREFEITO,96,PATRIOTA
CLEUDES BERNARDES DA COSTA,80063.99999999997,PREFEITO,2663,PSD
AMERICO OSORIO DOS SANTOS E SILVA,79849.53,PREFEITO,1264,MDB
