NM_VOTAVEL,VR_RECEITA,DS_CARGO,QT_VOTOS,SG_PARTIDO
ELANE APARECIDA GARCIA LEÃO CORREA,10161.78,PREFEITO,1147,PROS
WANDER CARDOSO TERRA,10115,PREFEITO,115,MDB
GERALDO ANTÔNIO CAVALCANTI,10014,PREFEITO,286,DEM
DAVID TEODORO BATISTA,10000,PREFEITO,578,PSDB
MARBENIO RABELO DE SOUSA,10000,PREFEITO,16,PT
ODAIR OLEGARIO DE LIMA,10000,PREFEITO,17,PT
OSANO JOAQUIM DA SILVA JUNIOR,10000,PREFEITO,64,PROS
OTON ALVES AGUIAR,10000,PREFEITO,357,MDB
PEDRO SEABRA GUIMARÃES,10000,PREFEITO,31,AVANTE
VALDELAN PEREIRA DE ARAÚJO,10000,PREFEITO,1,PSL
WELTON DIVINO DAS DORES DE SOUSA,10000,PREFEITO,44,PT
OTACILIO GOMES DE MORAIS,9949.5,PREFEITO,110,PODE
GARIBALDO FERREIRA DE SANTANA NETO,9900,PREFEITO,245,PSC
ALBERTO PAULO CORDEIRO,9200,PREFEITO,198,PRTB
MACIEL PAIM DE OLIVEIRA,8399,PREFEITO,312,PROS
ALTAMIRO RAJÃO,8000,PREFEITO,76,PATRIOTA
IVAN GOMES JARDIM,7940,PREFEITO,56,PSB
SILVIO JOSÉ VIDAL,7530,PREFEITO,191,CIDADANIA
MARCILENE LIMA DE SOUZA,7451.75,PREFEITO,237,CIDADANIA
HELDER RODRIGUES DE SOUZA,7000,PREFEITO,74,PSB
VALDEIR REZENDE,6489,PREFEITO,178,PATRIOTA
SEVERINO ANAILSON SOBRINHO,6450,PREFEITO,32,PP
JOSMAR DOS SANTOS MOURA,6030,PREFEITO,616,PRTB
ALESSANDRO ALVES DE MOURA,5800,PREFEITO,90,DC
PAULO SILVA GOMES,5398.55,PREFEITO,125,PODE
DILVAM MARQUES COSTA,5000,PREFEITO,49,PODE
FREDSON CRUZ SILVA,5000,PREFEITO,25,REDE
CARLOS CESAR BATISTA DE SOUZA,4450.07,PREFEITO,374,PRTB
RAIMUNDO NONATO DE CASTRO NETO,4200,PREFEITO,492,PRTB
JAIR FERREIRA DE SANTANA,4090,PREFEITO,163,PRTB
JOVELINO RIBEIRO DA SILVA,3912.61,PREFEITO,385,PODE
JOÃO BATISTA DE OLIVEIRA,3196.33,PREFEITO,217,PC do B
JOÃO BATISTA DE OLIVEIRA,3116,PREFEITO,217,PSB
JAIR PEREIRA DA SILVA,3090,PREFEITO,1050,PSDB
RONALDO DO NASCIMENTO LIMA,3080,PREFEITO,11,PRTB
MARCOS ANDREI DE MORAES BARRA,3050,PREFEITO,43,PSC
DJALMA GOMES DA SILVA,2912.35,PREFEITO,2235,PL
ADEMIR CANDIDO DA COSTA,2805,PREFEITO,68,SOLIDARIEDADE
VALCILEI ANTONIO VICENTE,2709,PREFEITO,210,DEM
JOÃO BATISTA DE OLIVEIRA,2287.0099999999998,PREFEITO,217,PSL
FRANCISCO SULA DE ARAUJO,1810,PREFEITO,208,PMN
JOÃO BATISTA DA SILVA,1796.3,PREFEITO,19,PMB
JOÃO BATISTA GOMES,1622,PREFEITO,1131,PODE
JOÃO BATISTA DE OLIVEIRA,1600,PREFEITO,217,PROS
BELMIRO ALVES RODRIGUES,1534,PREFEITO,787,DEM
JOÃO BATISTA DE OLIVEIRA,1252,PREFEITO,217,CIDADANIA
ZENON ANDRADE DE ARRUDA,1200,PREFEITO,145,PDT
VINÍCIUS GOMES DA PAIXÃO,1000,PREFEITO,87,PCO
JOSÉ ANTÔNIO DA SILVA,827.5,PREFEITO,1338,MDB
JOÃO BATISTA DA SILVA,698.6,PREFEITO,19,PT
WILMAR FERREIRA DA SILVA,670.8,PREFEITO,1325,PODE
CARLOS DE SOUSA MIRANDA,500,PREFEITO,89,PSC
TACIMAR FERREIRA DE LIMA,441.95,PREFEITO,247,PMN
JOÃO BATISTA DA SILVA,400,PREFEITO,19,SOLIDARIEDADE
